Compound,PubChem_CID,Canonical_SMILES
3-p-Coumaroylquinic acid,,
4-Caffeoylquinic acid,,
Apigenin,,
Isolariciresinol,,
Kaempferol,,
Luteolin,,
Medioresinol,,
Myricetin,,
O-Coumaric Acid,637540,C1=CC=C(C(=C1)C=CC(=O)O)O
Quercetin,,
Rutin,,
Secoisolariciresinol,,
Selegiline,26757,CC(CC1=CC=CC=C1)N(C)CC#C
